x, y, validity, timestamp (us)
1453.94, 87.779, 1, 177562271129
1533.59, 62.8349, 1, 177562301440
1575.83, 55.7097, 1, 177562331680
1600.06, 49.1652, 1, 177562361851
1614.57, 44.8943, 1, 177562392091
1620.97, 37.2163, 1, 177562422244
1624.65, 32.6465, 1, 177562452291
1625.58, 31.7385, 1, 177562482637
1626.29, 31.4898, 1, 177562512877
1626.65, 30.0857, 1, 177562542961
1627.84, 28.4858, 1, 177562573105
1627.92, 27.3493, 1, 177562603442
1629.18, 28.4724, 1, 177562633700
1629.11, 28.704, 1, 177562663738
1629.47, 26.9431, 1, 177562693909
1630.52, 27.3049, 1, 177562724228
1630.14, 27.5231, 1, 177562754574
1630.01, 27.8765, 1, 177562784639
1629.92, 28.61, 1, 177562814907
1630.33, 28.4211, 1, 177562845060
1630.97, 28.3103, 1, 177562875309
1631.03, 28.784, 1, 177562905462
1631.01, 28.7712, 1, 177562935720
1631.63, 28.4451, 1, 177562965891
1632.81, 28.9473, 1, 177562996228
1633.52, 29.5178, 1, 177563026450
1633.92, 30.0299, 1, 177563056603
1641.38, 97.4302, 1, 177563086870
1649.83, 275.156, 1, 177563117216
1651.93, 424.27, 1, 177563147535
1654.64, 511.92, 1, 177563177706
1662.11, 548.138, 1, 177563207956
1664.44, 564.512, 1, 177563238099
1612.78, 592.674, 1, 177563268331
1389.69, 618.452, 1, 177563298686
1156.6, 625.911, 1, 177563328756
1037.36, 623.841, 1, 177563358909
975.632, 618.942, 1, 177563388955
945.086, 616.515, 1, 177563419264
930.579, 615.264, 1, 177563449514
921.673, 615.342, 1, 177563479593
915.122, 615.78, 1, 177563509939
910.168, 615.121, 1, 177563540013
905.4, 613.93, 1, 177563570304
903.05, 614.432, 1, 177563600457
901.934, 613.769, 1, 177563630766
900.328, 613.708, 1, 177563660804
898.794, 613.73, 1, 177563691169
897.516, 613.732, 1, 177563721275
896.373, 613.802, 1, 177563751534
894.673, 614.082, 1, 177563781697
894.063, 614.21, 1, 177563812042
892.789, 614.501, 1, 177563842107
892.483, 628.28, 1, 177563872260
-1920, -1080, 0, 177563902519
-1920, -1080, 0, 177563933362
-1920, -1080, 0, 177563963165
-1920, -1080, 0, 177563993759
-1920, -1080, 0, 177564023820
846.857, 508.871, 1, 177564054231
885.441, 674.129, 1, 177564084521
864.465, 671.982, 1, 177564114886
865.08, 664.455, 1, 177564145153
860.459, 634.7, 1, 177564175458
849.035, 591.625, 1, 177564205275
835.552, 588.923, 1, 177564235083
831.389, 590.911, 1, 177564265015
830.419, 587.948, 1, 177564295264
831.134, 584.063, 1, 177564325408
831.164, 578.859, 1, 177564355745
831.088, 572.537, 1, 177564385810
831.828, 567.495, 1, 177564416059
820.864, 566.827, 1, 177564446194
745.25, 567.789, 1, 177564476549
622.742, 587.813, 1, 177564506665
522.576, 601.374, 1, 177564536906
458.964, 601.453, 1, 177564567040
423.53, 598.894, 1, 177564597298
402.093, 603.396, 1, 177564627451
389.159, 608.608, 1, 177564657701
379.83, 609.976, 1, 177564687765
376.396, 609.984, 1, 177564718111
374.124, 609.959, 1, 177564748467
372.116, 610.389, 1, 177564778619
372.515, 610.513, 1, 177564808897
371.648, 610.219, 1, 177564838944
370.99, 608.384, 1, 177564869088
369.655, 606.335, 1, 177564899337
370.053, 605.119, 1, 177564929673
370.121, 603.791, 1, 177564959730
369.76, 602.72, 1, 177564989988
370.033, 601.544, 1, 177565020122
369.291, 600.775, 1, 177565050468
369.498, 600.909, 1, 177565080516
369.401, 599.401, 1, 177565110862
368.285, 597.971, 1, 177565140909
367.77, 597.289, 1, 177565171264
366.524, 522.454, 1, 177565201504
358.758, 363.447, 1, 177565231657
354.019, 252.367, 1, 177565261723
352.564, 202.718, 1, 177565292069
352.529, 179.144, 1, 177565322143
351.204, 170.766, 1, 177565352314
348.899, 163.332, 1, 177565382582
346.763, 157.809, 1, 177565412946
343.504, 152.974, 1, 177565443003
343.167, 149.123, 1, 177565473349
343.654, 148.275, 1, 177565503386
345.725, 145.249, 1, 177565533732
346.282, 142.76, 1, 177565563798
345.814, 141.736, 1, 177565594144
346.76, 141.181, 1, 177565624209
347.68, 140.794, 1, 177565654536
347.51, 141.37, 1, 177565684593
351.742, 146.722, 1, 177565714939
512.806, 368.845, 1, 177565745189
729.457, 679.277, 1, 177565775360
818.75, 827.214, 1, 177565805581
849.798, 882.01, 1, 177565835831
865.854, 902.088, 1, 177565865966
869.237, 909.564, 1, 177565896339
869.596, 914.471, 1, 177565926385
870.354, 915.906, 1, 177565956695
870.513, 916.815, 1, 177565986963
868.061, 915.078, 1, 177566017116
867.324, 916.529, 1, 177566047365
867.37, 919.666, 1, 177566077748
894.652, 941.992, 1, 177566107874
923.562, 961.287, 1, 177566138155
946.936, 972.906, 1, 177566168201
962.102, 979.747, 1, 177566198814
970.023, 987.101, 1, 177566228613
978.881, 994.25, 1, 177566258917
983.654, 998.553, 1, 177566289006
986.539, 1003.06, 1, 177566319407
989.839, 1004.82, 1, 177566349449
992.884, 1004.92, 1, 177566379754
993.138, 1004.71, 1, 177566409843
994.075, 1005.05, 1, 177566440359
995.565, 1004.83, 1, 177566470148
996.597, 1005.02, 1, 177566500742
997.287, 1005.28, 1, 177566530647
997.965, 1005.07, 1, 177566560952
997.725, 1005.2, 1, 177566591068
997.823, 1005.01, 1, 177566621644
997.377, 1005.41, 1, 177566651451
997.472, 1005.78, 1, 177566682045
998.08, 1006.01, 1, 177566711854
998.437, 1005.67, 1, 177566742448
998.225, 1005.58, 1, 177566772256
997.956, 1005.9, 1, 177566802851
997.976, 1006.34, 1, 177566832658
998.85, 1007.32, 1, 177566863252
999.083, 1007.93, 1, 177566893254
999.19, 1007.66, 1, 177566923558
999.686, 1007.1, 1, 177566953655
1000.2, 1006.53, 1, 177566984056
1000.75, 1007, 1, 177567014154
1001.68, 1009.27, 1, 177567044459
1002.52, 1012.85, 1, 177567074511
1002.91, 1014.48, 1, 177567104894
1003.33, 1016.23, 1, 177567134913
1003.25, 1016.42, 1, 177567165489
1003.4, 1017.49, 1, 177567195315
1004.02, 1018.2, 1, 177567225909
1004.7, 1019.3, 1, 177567255717
1005.44, 1021.3, 1, 177567286294
1006.37, 1022.92, 1, 177567316152
1006.62, 1025.15, 1, 177567346667
1007.36, 1028.21, 1, 177567376572
1007.5, 1030.25, 1, 177567407070
1007.19, 1032.36, 1, 177567436975
1006.81, 1033.26, 1, 177567467569
1006.61, 1032.29, 1, 177567497377
1006.4, 1032.81, 1, 177567527695
1006.21, 1033.31, 1, 177567557999
1005.79, 1033.24, 1, 177567588069
977.456, 1009.28, 1, 177567618393
759.78, 763.622, 1, 177567648260
537.865, 535.492, 1, 177567678432
441.368, 426.14, 1, 177567708778
405.695, 376.754, 1, 177567738940
391.998, 357.726, 1, 177567769188
390.627, 347.522, 1, 177567799245
387.579, 346.138, 1, 177567829504
385.469, 344.511, 1, 177567859675
385.543, 344.615, 1, 177567889906
383.857, 344.316, 1, 177567920059
325.645, 313.048, 1, 177567950327
251.073, 262.598, 1, 177567980489
204.949, 225.548, 1, 177568010719
171.867, 200.184, 1, 177568040881
154.339, 189.663, 1, 177568071131
145.981, 183.033, 1, 177568101311
142.149, 182.704, 1, 177568131570
139.388, 178.315, 1, 177568161732
138.649, 175.382, 1, 177568191972
138.169, 173.447, 1, 177568222125
137.181, 173.182, 1, 177568252374
137.413, 174.783, 1, 177568282527
135.884, 175.505, 1, 177568312776
118.776, 157.63, 1, 177568342929
98.3212, 134.214, 1, 177568373197
84.2553, 112.766, 1, 177568403368
72.2264, 96.9378, 1, 177568433618
64.255, 90.4006, 1, 177568463771
57.6857, 82.4637, 1, 177568494010
51.2752, 73.1462, 1, 177568524154
45.8498, 68.7768, 1, 177568554404
43.7077, 65.3542, 1, 177568584538
43.2897, 62.2853, 1, 177568614787
41.2593, 60.731, 1, 177568644931
40.3962, 58.8914, 1, 177568675190
39.135, 56.8781, 1, 177568705324
38.2553, 56.3253, 1, 177568735661
37.1539, 55.0168, 1, 177568765929
36.5023, 56.0361, 1, 177568796082
37.7836, 55.1229, 1, 177568826349
38.8839, 53.0928, 1, 177568856502
39.418, 51.7433, 1, 177568886789
40.1592, 50.9577, 1, 177568916960
40.6802, 50.4747, 1, 177568947218
40.5429, 49.9954, 1, 177568977380
40.728, 49.6944, 1, 177569007726
41.6004, 49.4863, 1, 177569037782
42.4452, 49.9195, 1, 177569068060
43.4858, 50.1245, 1, 177569098097
44.2274, 50.2824, 1, 177569128452
45.2007, 50.0562, 1, 177569158614
46.0435, 50.3999, 1, 177569188873
46.7725, 50.3562, 1, 177569219017
46.7833, 50.1084, 1, 177569249284
